"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT1","Red ","TRUE ","Catch Weight",1,"Royce Gracie",1,"Southpaw",26,"Gerard Gordeau",3,"Orthodox",34,"1993-11-12","Joao Alberto Barreto","r1",195.58,185.42,NULL,NULL,216,175,"record1","FT1",0,2,0,2,0,0,0,0,0,2,0,0,2,2,42.5,0,2,0,2,0,2,97.5,0,0,0,0,0,2,0,2
"FT3","Red ","FALSE","Open Weight",1,"Royce Gracie",1,"Southpaw",26,"Ken Shamrock",4,"Orthodox",29,"1993-11-12","Joao Alberto Barreto","r1",185.42,185.42,182.88,NULL,205,175,"record3","FT3",0,1,0,1,0,0,0,0,0,0,1,0,1,1,109,0,1,0,1,0,1,138,0,0,0,0,0,1,0,1
"FT6","Red ","FALSE","Open Weight",1,"Royce Gracie",1,"Southpaw",26,"Art Jimmerson",8,"Orthodox",30,"1993-11-12","Joao Alberto Barreto","r1",185.42,185.42,NULL,NULL,196,175,"record6","FT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2","Red ","FALSE","Open Weight",1,"Jason DeLucia",2,"Southpaw",24,"Trent Jenkins",6,NULL,NULL,"1993-11-12","Joao Alberto Barreto","r1",187.96,180.34,NULL,NULL,185,190,"record2","FT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT4","Red ","FALSE","Open Weight",1,"Gerard Gordeau",3,"Orthodox",34,"Kevin Rosier",5,"Orthodox",NULL,"1993-11-12","Joao Alberto Barreto","r1",193.04,195.58,NULL,NULL,275,216,"record4","FT4",0,1,0,1,0,0,0,0,0,1,0,0,1,1,260,0,1,0,1,0,1,26,0,0,0,0,1,0,0,1
"FT8","Red ","FALSE","Open Weight",1,"Gerard Gordeau",3,"Orthodox",34,"Teila Tuli",10,"Orthodox",24,"1993-11-12","Joao Alberto Barreto","r1",182.88,195.58,NULL,NULL,430,216,"record8","FT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT5","Red ","FALSE","Open Weight",1,"Ken Shamrock",4,"Orthodox",29,"Patrick Smith",7,"Orthodox",30,"1993-11-12","Joao Alberto Barreto","r1",187.96,185.42,NULL,182.88,225,205,"record5","FT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT7","Red ","FALSE","Open Weight",1,"Kevin Rosier",5,"Orthodox",NULL,"Zane Frazier",9,"Orthodox",NULL,"1993-11-12","Joao Alberto Barreto","r1",195.58,193.04,NULL,NULL,250,275,"record7","FT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT10","Red ","FALSE","Open Weight",1,"Royce Gracie",1,"Southpaw",27,"Remco Pardoel",11,"Southpaw",NULL,"1994-03-11","John McCarthy","r2",190.5,185.42,NULL,NULL,260,175,"record10","FT10",0,2,0,2,0,0,0,0,0,1,1,0,2,2,340,0,5,0,5,0,5,134.8,1,0,0,0,0,5,0,5
"FT12","Red ","FALSE","Open Weight",1,"Royce Gracie",1,"Southpaw",27,"Jason DeLucia",2,"Southpaw",24,"1994-03-11","John McCarthy","r2",180.34,185.42,NULL,NULL,190,175,"record12","FT12",0,2,0,2,0,0,0,0,0,0,2,0,2,2,226.5,0,4,0,4,0,4,151.75,1,0,0,0,0,4,0,4
