fight_id,winner,title_bout,weight_class,no_of_rounds,r_fighter,r_fighter_id,r_fighter_stance,b_fighter,b_fighter_id,b_fighter_stance,date,referee,referee_id,b_fighter_height,r_fighter_height,b_fighter_reach,r_fighter_reach,b_fighter_weight,r_fighter_weight
FT1,Red ,TRUE ,Catch Weight,1,Royce Gracie,1,Southpaw,Gerard Gordeau,3,Orthodox,11/12/1993,Joao Alberto Barreto,r1,195.58,185.42,NULL,NULL,216,175
FT3,Red ,FALSE,Open Weight,1,Royce Gracie,1,Southpaw,Ken Shamrock,4,Orthodox,11/12/1993,Joao Alberto Barreto,r1,185.42,185.42,182.88,NULL,205,175
FT6,Red ,FALSE,Open Weight,1,Royce Gracie,1,Southpaw,Art Jimmerson,8,Orthodox,11/12/1993,Joao Alberto Barreto,r1,185.42,185.42,NULL,NULL,196,175
FT2,Red ,FALSE,Open Weight,1,Jason DeLucia,2,Southpaw,Trent Jenkins,6,NULL,11/12/1993,Joao Alberto Barreto,r1,187.96,180.34,NULL,NULL,185,190
FT4,Red ,FALSE,Open Weight,1,Gerard Gordeau,3,Orthodox,Kevin Rosier,5,Orthodox,11/12/1993,Joao Alberto Barreto,r1,193.04,195.58,NULL,NULL,275,216
FT8,Red ,FALSE,Open Weight,1,Gerard Gordeau,3,Orthodox,Teila Tuli,10,Orthodox,11/12/1993,Joao Alberto Barreto,r1,182.88,195.58,NULL,NULL,430,216
FT5,Red ,FALSE,Open Weight,1,Ken Shamrock,4,Orthodox,Patrick Smith,7,Orthodox,11/12/1993,Joao Alberto Barreto,r1,187.96,185.42,NULL,182.88,225,205
FT7,Red ,FALSE,Open Weight,1,Kevin Rosier,5,Orthodox,Zane Frazier,9,Orthodox,11/12/1993,Joao Alberto Barreto,r1,195.58,193.04,NULL,NULL,250,275
FT10,Red ,FALSE,Open Weight,1,Royce Gracie,1,Southpaw,Remco Pardoel,11,Southpaw,3/11/1994,John McCarthy,r2,190.5,185.42,NULL,NULL,260,175
FT12,Red ,FALSE,Open Weight,1,Royce Gracie,1,Southpaw,Jason DeLucia,2,Southpaw,3/11/1994,John McCarthy,r2,180.34,185.42,NULL,NULL,190,175
FT16,Red ,FALSE,Open Weight,1,Royce Gracie,1,Southpaw,Minoki Ichihara,17,Orthodox,3/11/1994,John McCarthy,r2,170.18,185.42,NULL,NULL,178,175
